,AQI,城市道路照明灯千盏,城市公共汽、电车车辆运营数辆,城市公共汽、电车运营线路总长度公里,城市建设用地面积平方公里,城市绿地面积公顷,城市排水管道长度公里,城市桥梁座,城市清扫保洁面积万平方米,城市燃气普及率%,城市人口密度人每平方公里,城市污水日处理能力万立方米,城市用水普及率%,除涝面积千公顷,低温冷冻和雪灾受灾面积千公顷,电子商务采购额亿元,电子商务销售额亿元,发明专利授权数件,分地区公路货运量(万吨,分地区水路货运量万吨,分地区铁路货运量万吨,分地区用电量亿千瓦小时,风雹灾害受灾面积千公顷,公路货物周转量亿吨公里).,公路客运量万人,公路旅客周转量亿人公里,供热面积万平方米,供热总量-热水万吉焦,供热总量-蒸汽万吉焦,国家自然保护区个数(个,国家自然保护区面积万公顷,旱灾受灾面积千公顷,洪涝、地质灾害和台风受灾面积千公顷,技术市场成交额万元,建成区绿化覆盖率%,居民人均消费支出元,每万人拥有公共厕所座,每万人拥有公共交通车辆标台,年末人口数.,年末实有道路面积万平方米 ,年末实有道路长度公里,企业期末使用计算机数台,企业拥有网站数个,全年供水总量万立方千米,人工煤气管道长度公里,人工煤气全年供气总量万立方米,人工煤气用气人口数万人,人均城市道路面积平方米,人均公园绿地面积平方米,人均可支配收入元,人均生活用水量升,生活垃圾清运量万吨,生活垃圾无害化处理厂数座,生活垃圾无害化处理量万吨,生活垃圾无害化处理率(%).,生活垃圾无害化处理能力吨每日,实用新型专利授权数件,受灾人口万人次,水库总容量亿立方米,水路货物周转量亿吨公里,水土流失治理面积千公顷,水运客运量万人,水运旅客周转量亿人公里,天然气管道长度公里,天然气全年供气总量万立方米,天然气用气人口数万人,铁路货物周转量亿吨公里,铁路客运量万人,铁路旅客周转量亿人公里,外观设计专利授权数件,液化石油气管道长度公里,液化石油气全年供气总量吨,液化石油气用气人口万人,用水人口万人,有电子商务交易活动企业数个,主要城市降水量毫米,主要城市平均气温摄氏度,主要城市平均相对湿度%,主要城市日照时数小时,城区面积（平方公里）.xlsx,城市出租汽车（辆）.xlsx,城市道路照明灯（千盏）.xlsx,城市公共汽、电车车辆运营数（辆）.xlsx,城市公共汽、电车运营线路总长度（公里）.xlsx,城市建设用地面积（平方公里）.xlsx,城市绿地面积（公顷）.xlsx,城市排水管道长度（公里）.xlsx,城市桥梁（座）.xlsx,城市清扫保洁面积（万平方米）.xlsx,城市燃气普及率（%）.xlsx,城市人口密度（人每平方公里）.xlsx,城市污水日处理能力（万立方米）.xlsx,城市用水普及率（%）.xlsx,除涝面积（千公顷）.xlsx,低温冷冻和雪灾受灾面积（千公顷）.xlsx,电子商务采购额（亿元）.xlsx,电子商务销售额（亿元）.xlsx,发明专利授权数（件）.xlsx,分地区公路货运量(万吨）.xlsx,分地区水路货运量（万吨）.xlsx,分地区铁路货运量（万吨）.xlsx,分地区用电量（亿千瓦小时）.xlsx,风雹灾害受灾面积（千公顷）.xlsx,公路货物周转量（亿吨公里).xlsx,公路客运量（万人）.xlsx,公路旅客周转量（亿人公里）.xlsx,供热面积（万平方米）.xlsx,供热总量-热水（万吉焦）.xlsx,供热总量-蒸汽（万吉焦）.xlsx,国家自然保护区个数(个）.xlsx,国家自然保护区面积（万公顷）.xlsx,旱灾受灾面积（千公顷）.xlsx,洪涝、地质灾害和台风受灾面积（千公顷）.xlsx,技术市场成交额（万元）.xlsx,建成区绿化覆盖率（%）.xlsx,居民人均消费支出（元）.xlsx,每万人拥有公共厕所（座）.xlsx,每万人拥有公共交通车辆（标台）.xlsx,年末人口数.xlsx,年末实有道路面积（万平方米 ）.xlsx,年末实有道路长度（公里）.xlsx,企业期末使用计算机数（台）.xlsx,企业拥有网站数（个）.xlsx,全年供水总量（万立方千米）.xlsx,人工煤气管道长度（公里）.xlsx,人工煤气全年供气总量（万立方米）.xlsx,人工煤气用气人口数（万人）.xlsx,人均城市道路面积（平方米）.xlsx,人均公园绿地面积（平方米）.xlsx,人均可支配收入（元）.xlsx,人均生活用水量（升）.xlsx,生活垃圾清运量（万吨）.xlsx,生活垃圾无害化处理厂数（座）.xlsx,生活垃圾无害化处理量（万吨）.xlsx,生活垃圾无害化处理率(%).xlsx,生活垃圾无害化处理能力（吨每日）.xlsx,实用新型专利授权数（件）.xlsx,受灾人口（万人次）.xlsx,水库总容量（亿立方米）.xlsx,水路货物周转量（亿吨公里）.xlsx,水土流失治理面积（千公顷）.xlsx,水运客运量（万人）.xlsx,水运旅客周转量（亿人公里）.xlsx,天然气管道长度（公里）.xlsx,天然气全年供气总量（万立方米）.xlsx,天然气用气人口数（万人）.xlsx,铁路货物周转量（亿吨公里）.xlsx,铁路客运量（万人）.xlsx,铁路旅客周转量（亿人公里）.xlsx,外观设计专利授权数（件）.xlsx,液化石油气管道长度（公里）.xlsx,液化石油气全年供气总量（吨）.xlsx,液化石油气用气人口（万人）.xlsx,用水人口（万人）.xlsx,有电子商务交易活动企业数（个）.xlsx,主要城市降水量（毫米）.xlsx,主要城市平均气温（摄氏度）.xlsx,主要城市平均相对湿度（%）.xlsx,主要城市日照时数（小时）.xlsx
2015-湖南,25945.00 ,682.00 ,17203.00 ,15954.00 ,1483.40 ,59359.00 ,13199.00 ,827.00 ,19979.00 ,92.28 ,3261.00 ,586.70 ,97.30 ,425.40 ,0.70 ,898.60 ,2221.40 ,6776.00 ,172248.00 ,23061.00 ,4407.00 ,1448.00 ,11.80 ,2553.52 ,119266.00 ,635.64 ,NA,NA,NA,23.00 ,63.50 ,NA,752.60 ,1050578.00 ,39.70 ,14267.30 ,2.26 ,13.64 ,6615.00 ,21333.00 ,11437.00 ,1016010.00 ,17610.00 ,197922.00 ,441.00 ,2767.00 ,33.40 ,14.27 ,9.99 ,19317.50 ,207.80 ,638.20 ,32.00 ,636.90 ,99.80 ,21233.00 ,18467.00 ,1221.40 ,496.60 ,580.30 ,3259.80 ,1534.00 ,3.07 ,12535.00 ,215488.00 ,851.90 ,761.70 ,10511.00 ,888.82 ,8832.00 ,NA,241529.00 ,493.90 ,1454.10 ,2467.00 ,1538.30 ,17.40 ,83.00 ,1263.40 ,4582.30 ,25945.00 ,682.00 ,17203.00 ,15954.00 ,1483.40 ,59359.00 ,13199.00 ,827.00 ,19979.00 ,92.28 ,3261.00 ,586.70 ,97.30 ,425.40 ,0.70 ,898.60 ,2221.40 ,6776.00 ,172248.00 ,23061.00 ,4407.00 ,1448.00 ,11.80 ,2553.52 ,119266.00 ,635.64 ,NA,NA,NA,23.00 ,63.50 ,NA,752.60 ,1050578.00 ,39.70 ,14267.30 ,2.26 ,13.64 ,6615.00 ,21333.00 ,11437.00 ,1016010.00 ,17610.00 ,197922.00 ,441.00 ,2767.00 ,33.40 ,14.27 ,9.99 ,19317.50 ,207.80 ,638.20 ,32.00 ,636.90 ,99.80 ,21233.00 ,18467.00 ,1221.40 ,496.60 ,580.30 ,3259.80 ,1534.00 ,3.07 ,12535.00 ,215488.00 ,851.90 ,761.70 ,10511.00 ,888.82 ,8832.00 ,NA,241529.00 ,493.90 ,1454.10 ,2467.00 ,1538.30 ,17.40 ,83.00 ,1263.40 
2015-吉林,56447.00 ,502.60 ,11662.00 ,12248.00 ,1330.10 ,47251.00 ,10319.00 ,776.00 ,16957.00 ,92.46 ,3193.00 ,334.50 ,93.64 ,1031.10 ,0.20 ,263.10 ,515.90 ,2240.00 ,38708.00 ,193.00 ,4432.00 ,652.00 ,121.80 ,1051.22 ,29013.00 ,177.82 ,47990.00 ,24609.00 ,828.00 ,20.00 ,110.70 ,700.00 ,24.20 ,264697.00 ,36.10 ,13763.90 ,3.11 ,10.62 ,2613.00 ,17010.00 ,8854.00 ,502812.00 ,6185.00 ,106202.00 ,341.00 ,7945.00 ,41.00 ,14.52 ,12.51 ,18683.70 ,122.30 ,490.30 ,25.00 ,415.20 ,84.70 ,13243.00 ,5638.00 ,450.50 ,325.30 ,0.59 ,1793.50 ,188.00 ,0.27 ,8414.00 ,111432.00 ,676.80 ,373.53 ,7158.00 ,252.22 ,1000.00 ,83.00 ,157752.00 ,365.20 ,1096.80 ,544.00 ,530.50 ,7.20 ,60.00 ,2695.70 ,3668.40 ,56447.00 ,502.60 ,11662.00 ,12248.00 ,1330.10 ,47251.00 ,10319.00 ,776.00 ,16957.00 ,92.46 ,3193.00 ,334.50 ,93.64 ,1031.10 ,0.20 ,263.10 ,515.90 ,2240.00 ,38708.00 ,193.00 ,4432.00 ,652.00 ,121.80 ,1051.22 ,29013.00 ,177.82 ,47990.00 ,24609.00 ,828.00 ,20.00 ,110.70 ,700.00 ,24.20 ,264697.00 ,36.10 ,13763.90 ,3.11 ,10.62 ,2613.00 ,17010.00 ,8854.00 ,502812.00 ,6185.00 ,106202.00 ,341.00 ,7945.00 ,41.00 ,14.52 ,12.51 ,18683.70 ,122.30 ,490.30 ,25.00 ,415.20 ,84.70 ,13243.00 ,5638.00 ,450.50 ,325.30 ,0.59 ,1793.50 ,188.00 ,0.27 ,8414.00 ,111432.00 ,676.80 ,373.53 ,7158.00 ,252.22 ,1000.00 ,83.00 ,157752.00 ,365.20 ,1096.80 ,544.00 ,530.50 ,7.20 ,60.00 ,2695.70 
2015-江苏,53399.00 ,3391.30 ,36793.00 ,58419.00 ,4207.60 ,274071.00 ,70048.00 ,14630.00 ,57992.00 ,99.56 ,2034.00 ,1673.20 ,99.83 ,3017.70 ,58.80 ,4315.30 ,5193.50 ,36015.00 ,113351.00 ,80343.00 ,5304.00 ,5115.00 ,97.00 ,2072.96 ,119800.00 ,825.45 ,NA,NA,NA,3.00 ,29.90 ,NA,459.70 ,5729178.00 ,42.80 ,20555.60 ,3.82 ,15.81 ,8315.00 ,75052.00 ,40749.00 ,4352216.00 ,66039.00 ,506719.00 ,NA,NA,NA,24.42 ,14.55 ,29538.90 ,210.70 ,1456.10 ,61.00 ,1456.10 ,100.00 ,52816.00 ,119513.00 ,534.80 ,35.40 ,5886.75 ,893.80 ,2392.00 ,2.70 ,61125.00 ,969799.00 ,2345.70 ,310.52 ,16116.00 ,625.54 ,94762.00 ,520.00 ,593577.00 ,714.60 ,3068.60 ,11257.00 ,1765.60 ,16.40 ,73.00 ,1848.20 ,15110.50 ,53399.00 ,3391.30 ,36793.00 ,58419.00 ,4207.60 ,274071.00 ,70048.00 ,14630.00 ,57992.00 ,99.56 ,2034.00 ,1673.20 ,99.83 ,3017.70 ,58.80 ,4315.30 ,5193.50 ,36015.00 ,113351.00 ,80343.00 ,5304.00 ,5115.00 ,97.00 ,2072.96 ,119800.00 ,825.45 ,NA,NA,NA,3.00 ,29.90 ,NA,459.70 ,5729178.00 ,42.80 ,20555.60 ,3.82 ,15.81 ,8315.00 ,75052.00 ,40749.00 ,4352216.00 ,66039.00 ,506719.00 ,NA,NA,NA,24.42 ,14.55 ,29538.90 ,210.70 ,1456.10 ,61.00 ,1456.10 ,100.00 ,52816.00 ,119513.00 ,534.80 ,35.40 ,5886.75 ,893.80 ,2392.00 ,2.70 ,61125.00 ,969799.00 ,2345.70 ,310.52 ,16116.00 ,625.54 ,94762.00 ,520.00 ,593577.00 ,714.60 ,3068.60 ,11257.00 ,1765.60 ,16.40 ,73.00 ,1848.20 
2015-江西,13587.00 ,650.00 ,7527.00 ,13438.00 ,1231.00 ,54147.00 ,11983.00 ,827.00 ,14019.00 ,94.83 ,4822.00 ,272.90 ,97.55 ,404.80 ,NA,575.20 ,1990.00 ,1639.00 ,115436.00 ,10894.00 ,4019.00 ,1087.00 ,16.00 ,3022.72 ,53687.00 ,284.74 ,NA,NA,NA,14.00 ,23.10 ,NA,439.30 ,648484.00 ,44.10 ,12403.40 ,1.80 ,8.69 ,4485.00 ,17436.00 ,8185.00 ,687773.00 ,11711.00 ,110874.00 ,1069.00 ,25097.00 ,14.80 ,16.60 ,13.96 ,18437.10 ,171.30 ,329.30 ,17.00 ,311.00 ,94.50 ,9740.00 ,13408.00 ,628.30 ,306.20 ,233.56 ,5577.90 ,273.00 ,0.35 ,9430.00 ,73570.00 ,503.40 ,497.20 ,8458.00 ,668.72 ,9114.00 ,101.00 ,228912.00 ,478.20 ,1024.90 ,1848.00 ,2204.70 ,18.70 ,75.00 ,1651.40 ,2178.90 ,13587.00 ,650.00 ,7527.00 ,13438.00 ,1231.00 ,54147.00 ,11983.00 ,827.00 ,14019.00 ,94.83 ,4822.00 ,272.90 ,97.55 ,404.80 ,NA,575.20 ,1990.00 ,1639.00 ,115436.00 ,10894.00 ,4019.00 ,1087.00 ,16.00 ,3022.72 ,53687.00 ,284.74 ,NA,NA,NA,14.00 ,23.10 ,NA,439.30 ,648484.00 ,44.10 ,12403.40 ,1.80 ,8.69 ,4485.00 ,17436.00 ,8185.00 ,687773.00 ,11711.00 ,110874.00 ,1069.00 ,25097.00 ,14.80 ,16.60 ,13.96 ,18437.10 ,171.30 ,329.30 ,17.00 ,311.00 ,94.50 ,9740.00 ,13408.00 ,628.30 ,306.20 ,233.56 ,5577.90 ,273.00 ,0.35 ,9430.00 ,73570.00 ,503.40 ,497.20 ,8458.00 ,668.72 ,9114.00 ,101.00 ,228912.00 ,478.20 ,1024.90 ,1848.00 ,2204.70 ,18.70 ,75.00 ,1651.40 
2015-辽宁,80997.00 ,1580.80 ,21558.00 ,25123.00 ,2405.20 ,124193.00 ,17074.00 ,1637.00 ,36637.00 ,94.76 ,1590.00 ,831.40 ,98.84 ,911.50 ,NA,1107.60 ,2541.00 ,6569.00 ,172140.00 ,13439.00 ,16442.00 ,1985.00 ,46.50 ,2850.68 ,60269.00 ,313.09 ,104543.00 ,49005.00 ,7208.00 ,17.00 ,97.80 ,1429.50 ,6.80 ,2674927.00 ,40.30 ,17199.80 ,2.22 ,12.30 ,4338.00 ,30585.00 ,16914.00 ,1242265.00 ,16273.00 ,251064.00 ,5428.00 ,57394.00 ,530.90 ,13.43 ,11.52 ,24575.60 ,135.50 ,933.20 ,31.00 ,888.70 ,95.20 ,24687.00 ,15706.00 ,715.60 ,364.00 ,7963.17 ,4857.80 ,504.00 ,5.97 ,15018.00 ,170434.00 ,1068.00 ,898.07 ,12919.00 ,604.71 ,2907.00 ,666.00 ,468889.00 ,558.90 ,2250.60 ,1599.00 ,573.20 ,9.00 ,62.00 ,2412.80 ,14316.30 ,80997.00 ,1580.80 ,21558.00 ,25123.00 ,2405.20 ,124193.00 ,17074.00 ,1637.00 ,36637.00 ,94.76 ,1590.00 ,831.40 ,98.84 ,911.50 ,NA,1107.60 ,2541.00 ,6569.00 ,172140.00 ,13439.00 ,16442.00 ,1985.00 ,46.50 ,2850.68 ,60269.00 ,313.09 ,104543.00 ,49005.00 ,7208.00 ,17.00 ,97.80 ,1429.50 ,6.80 ,2674927.00 ,40.30 ,17199.80 ,2.22 ,12.30 ,4338.00 ,30585.00 ,16914.00 ,1242265.00 ,16273.00 ,251064.00 ,5428.00 ,57394.00 ,530.90 ,13.43 ,11.52 ,24575.60 ,135.50 ,933.20 ,31.00 ,888.70 ,95.20 ,24687.00 ,15706.00 ,715.60 ,364.00 ,7963.17 ,4857.80 ,504.00 ,5.97 ,15018.00 ,170434.00 ,1068.00 ,898.07 ,12919.00 ,604.71 ,2907.00 ,666.00 ,468889.00 ,558.90 ,2250.60 ,1599.00 ,573.20 ,9.00 ,62.00 ,2412.80 
2015-内蒙古,39359.00 ,721.70 ,6877.00 ,10731.00 ,1164.80 ,63090.00 ,12542.00 ,349.00 ,19799.00 ,94.09 ,1629.00 ,212.00 ,98.47 ,277.00 ,42.40 ,NA,NA,797.00 ,119500.00 ,NA,55612.00 ,2543.00 ,301.50 ,2239.96 ,11017.00 ,160.34 ,44869.00 ,32711.00 ,185.00 ,29.00 ,426.90 ,2171.70 ,185.20 ,153872.00 ,39.20 ,17178.50 ,4.76 ,9.10 ,2440.00 ,19793.00 ,9281.00 ,NA,NA,74789.00 ,500.00 ,3090.00 ,39.40 ,22.61 ,19.28 ,22310.10 ,106.70 ,329.10 ,28.00 ,321.60 ,97.70 ,11253.00 ,3757.00 ,584.40 ,103.10 ,NA,12597.20 ,NA,NA,8148.00 ,133207.00 ,536.40 ,1950.34 ,5108.00 ,210.80 ,968.00 ,84.00 ,57950.00 ,247.90 ,862.10 ,NA,361.90 ,7.70 ,47.00 ,2666.30 ,5372.70 ,39359.00 ,721.70 ,6877.00 ,10731.00 ,1164.80 ,63090.00 ,12542.00 ,349.00 ,19799.00 ,94.09 ,1629.00 ,212.00 ,98.47 ,277.00 ,42.40 ,NA,NA,797.00 ,119500.00 ,NA,55612.00 ,2543.00 ,301.50 ,2239.96 ,11017.00 ,160.34 ,44869.00 ,32711.00 ,185.00 ,29.00 ,426.90 ,2171.70 ,185.20 ,153872.00 ,39.20 ,17178.50 ,4.76 ,9.10 ,2440.00 ,19793.00 ,9281.00 ,NA,NA,74789.00 ,500.00 ,3090.00 ,39.40 ,22.61 ,19.28 ,22310.10 ,106.70 ,329.10 ,28.00 ,321.60 ,97.70 ,11253.00 ,3757.00 ,584.40 ,103.10 ,NA,12597.20 ,NA,NA,8148.00 ,133207.00 ,536.40 ,1950.34 ,5108.00 ,210.80 ,968.00 ,84.00 ,57950.00 ,247.90 ,862.10 ,NA,361.90 ,7.70 ,47.00 ,2666.30 
2015-宁夏,12571.00 ,266.40 ,3475.00 ,5036.00 ,384.50 ,24132.00 ,1608.00 ,188.00 ,7956.00 ,87.26 ,1336.00 ,82.00 ,96.40 ,NA,4.00 ,79.30 ,111.70 ,442.00 ,36995.00 ,NA,5631.00 ,878.00 ,38.10 ,571.85 ,8444.00 ,68.04 ,9979.00 ,4159.00 ,935.00 ,9.00 ,46.00 ,172.10 ,4.60 ,35202.00 ,37.90 ,13815.60 ,2.63 ,13.97 ,684.00 ,6376.00 ,2146.00 ,157689.00 ,1841.00 ,31871.00 ,NA,NA,NA,22.52 ,18.11 ,17329.10 ,171.70 ,132.20 ,8.00 ,118.90 ,89.90 ,3990.00 ,1267.00 ,131.00 ,29.10 ,NA,2057.20 ,195.00 ,0.11 ,4470.00 ,199279.00 ,204.10 ,245.08 ,661.00 ,47.37 ,156.00 ,NA,13193.00 ,43.00 ,273.00 ,331.00 ,227.10 ,10.70 ,50.00 ,2841.90 ,2119.20 ,12571.00 ,266.40 ,3475.00 ,5036.00 ,384.50 ,24132.00 ,1608.00 ,188.00 ,7956.00 ,87.26 ,1336.00 ,82.00 ,96.40 ,NA,4.00 ,79.30 ,111.70 ,442.00 ,36995.00 ,NA,5631.00 ,878.00 ,38.10 ,571.85 ,8444.00 ,68.04 ,9979.00 ,4159.00 ,935.00 ,9.00 ,46.00 ,172.10 ,4.60 ,35202.00 ,37.90 ,13815.60 ,2.63 ,13.97 ,684.00 ,6376.00 ,2146.00 ,157689.00 ,1841.00 ,31871.00 ,NA,NA,NA,22.52 ,18.11 ,17329.10 ,171.70 ,132.20 ,8.00 ,118.90 ,89.90 ,3990.00 ,1267.00 ,131.00 ,29.10 ,NA,2057.20 ,195.00 ,0.11 ,4470.00 ,199279.00 ,204.10 ,245.08 ,661.00 ,47.37 ,156.00 ,NA,13193.00 ,43.00 ,273.00 ,331.00 ,227.10 ,10.70 ,50.00 ,2841.90 
2015-青海,8006.00 ,120.00 ,2071.00 ,2276.00 ,173.10 ,5732.00 ,1668.00 ,144.00 ,2699.00 ,85.96 ,2692.00 ,41.90 ,99.06 ,NA,34.40 ,91.00 ,643.70 ,207.00 ,13233.00 ,NA,2729.00 ,658.00 ,49.80 ,222.13 ,4596.00 ,44.65 ,461.00 ,290.00 ,NA,7.00 ,2073.40 ,126.50 ,9.80 ,468849.00 ,29.80 ,13611.30 ,3.73 ,13.25 ,577.00 ,1970.00 ,987.00 ,111085.00 ,1151.00 ,25674.00 ,NA,NA,NA,10.63 ,10.48 ,15812.70 ,168.80 ,82.20 ,6.00 ,71.70 ,87.20 ,1930.00 ,687.00 ,189.50 ,318.80 ,NA,898.70 ,70.00 ,0.09 ,1234.00 ,133022.00 ,138.70 ,223.45 ,936.00 ,74.44 ,323.00 ,NA,6353.00 ,20.60 ,183.50 ,164.00 ,306.20 ,6.40 ,55.00 ,2590.10 ,688.20 ,8006.00 ,120.00 ,2071.00 ,2276.00 ,173.10 ,5732.00 ,1668.00 ,144.00 ,2699.00 ,85.96 ,2692.00 ,41.90 ,99.06 ,NA,34.40 ,91.00 ,643.70 ,207.00 ,13233.00 ,NA,2729.00 ,658.00 ,49.80 ,222.13 ,4596.00 ,44.65 ,461.00 ,290.00 ,NA,7.00 ,2073.40 ,126.50 ,9.80 ,468849.00 ,29.80 ,13611.30 ,3.73 ,13.25 ,577.00 ,1970.00 ,987.00 ,111085.00 ,1151.00 ,25674.00 ,NA,NA,NA,10.63 ,10.48 ,15812.70 ,168.80 ,82.20 ,6.00 ,71.70 ,87.20 ,1930.00 ,687.00 ,189.50 ,318.80 ,NA,898.70 ,70.00 ,0.09 ,1234.00 ,133022.00 ,138.70 ,223.45 ,936.00 ,74.44 ,323.00 ,NA,6353.00 ,20.60 ,183.50 ,164.00 ,306.20 ,6.40 ,55.00 ,2590.10 
2015-山东,61231.00 ,1864.90 ,39734.00 ,70911.00 ,4407.70 ,213517.00 ,52183.00 ,5212.00 ,68631.00 ,99.37 ,1452.00 ,1004.20 ,99.95 ,2930.20 ,43.10 ,3713.20 ,5989.20 ,16881.00 ,227934.00 ,14724.00 ,19191.00 ,5117.00 ,207.60 ,5876.99 ,46960.00 ,471.37 ,90150.00 ,27342.00 ,13656.00 ,7.00 ,22.00 ,883.20 ,245.10 ,3075545.00 ,42.30 ,14578.40 ,2.03 ,14.43 ,9866.00 ,80847.00 ,40426.00 ,2598066.00 ,45546.00 ,355903.00 ,9.00 ,59.00 ,NA,25.82 ,17.36 ,22703.20 ,138.50 ,1377.50 ,62.00 ,1377.50 ,100.00 ,37648.00 ,68776.00 ,1173.20 ,211.90 ,1379.88 ,3776.70 ,1999.00 ,11.64 ,44093.00 ,633917.00 ,2454.20 ,1161.18 ,11397.00 ,664.31 ,12444.00 ,367.00 ,366750.00 ,656.70 ,3129.00 ,5550.00 ,713.80 ,15.00 ,58.00 ,2260.20 ,21567.90 ,61231.00 ,1864.90 ,39734.00 ,70911.00 ,4407.70 ,213517.00 ,52183.00 ,5212.00 ,68631.00 ,99.37 ,1452.00 ,1004.20 ,99.95 ,2930.20 ,43.10 ,3713.20 ,5989.20 ,16881.00 ,227934.00 ,14724.00 ,19191.00 ,5117.00 ,207.60 ,5876.99 ,46960.00 ,471.37 ,90150.00 ,27342.00 ,13656.00 ,7.00 ,22.00 ,883.20 ,245.10 ,3075545.00 ,42.30 ,14578.40 ,2.03 ,14.43 ,9866.00 ,80847.00 ,40426.00 ,2598066.00 ,45546.00 ,355903.00 ,9.00 ,59.00 ,NA,25.82 ,17.36 ,22703.20 ,138.50 ,1377.50 ,62.00 ,1377.50 ,100.00 ,37648.00 ,68776.00 ,1173.20 ,211.90 ,1379.88 ,3776.70 ,1999.00 ,11.64 ,44093.00 ,633917.00 ,2454.20 ,1161.18 ,11397.00 ,664.31 ,12444.00 ,367.00 ,366750.00 ,656.70 ,3129.00 ,5550.00 ,713.80 ,15.00 ,58.00 ,2260.20 
2015-山西,30696.00 ,548.30 ,8153.00 ,13176.00 ,1079.30 ,42033.00 ,7860.00 ,657.00 ,16083.00 ,97.31 ,3920.00 ,244.90 ,98.85 ,89.10 ,32.00 ,380.40 ,676.70 ,2432.00 ,91240.00 ,16.00 ,70509.00 ,1737.00 ,55.80 ,1374.76 ,22085.00 ,164.53 ,54059.00 ,19174.00 ,1104.00 ,7.00 ,11.70 ,1023.40 ,31.40 ,512007.00 ,40.10 ,11729.10 ,2.93 ,8.53 ,3519.00 ,15039.00 ,7323.00 ,639158.00 ,6308.00 ,83614.00 ,3425.00 ,39450.00 ,66.20 ,13.52 ,11.61 ,17853.70 ,112.40 ,447.00 ,24.00 ,434.30 ,97.20 ,13971.00 ,6037.00 ,863.30 ,69.20 ,0.05 ,5846.40 ,109.00 ,0.09 ,11417.00 ,247397.00 ,897.20 ,2063.73 ,7418.00 ,215.42 ,1551.00 ,382.00 ,66168.00 ,118.80 ,1099.40 ,840.00 ,403.60 ,11.30 ,58.00 ,2710.30 ,2837.10 ,30696.00 ,548.30 ,8153.00 ,13176.00 ,1079.30 ,42033.00 ,7860.00 ,657.00 ,16083.00 ,97.31 ,3920.00 ,244.90 ,98.85 ,89.10 ,32.00 ,380.40 ,676.70 ,2432.00 ,91240.00 ,16.00 ,70509.00 ,1737.00 ,55.80 ,1374.76 ,22085.00 ,164.53 ,54059.00 ,19174.00 ,1104.00 ,7.00 ,11.70 ,1023.40 ,31.40 ,512007.00 ,40.10 ,11729.10 ,2.93 ,8.53 ,3519.00 ,15039.00 ,7323.00 ,639158.00 ,6308.00 ,83614.00 ,3425.00 ,39450.00 ,66.20 ,13.52 ,11.61 ,17853.70 ,112.40 ,447.00 ,24.00 ,434.30 ,97.20 ,13971.00 ,6037.00 ,863.30 ,69.20 ,0.05 ,5846.40 ,109.00 ,0.09 ,11417.00 ,247397.00 ,897.20 ,2063.73 ,7418.00 ,215.42 ,1551.00 ,382.00 ,66168.00 ,118.80 ,1099.40 ,840.00 ,403.60 ,11.30 ,58.00 ,2710.30 
2015-陕西,24052.00 ,638.40 ,11616.00 ,9832.00 ,1037.90 ,56108.00 ,8026.00 ,743.00 ,15884.00 ,94.73 ,4031.00 ,337.50 ,97.12 ,132.70 ,16.30 ,491.60 ,925.40 ,6812.00 ,107731.00 ,218.00 ,32951.00 ,1222.00 ,75.50 ,1826.80 ,61436.00 ,293.23 ,24030.00 ,7136.00 ,2099.00 ,22.00 ,60.00 ,561.60 ,90.90 ,7218211.00 ,40.60 ,13087.20 ,4.58 ,15.51 ,3846.00 ,14602.00 ,6508.00 ,832728.00 ,9951.00 ,97664.00 ,NA,NA,NA,15.67 ,12.57 ,17395.00 ,155.70 ,522.70 ,20.00 ,512.40 ,98.00 ,17591.00 ,16151.00 ,583.00 ,86.80 ,0.80 ,7288.30 ,378.00 ,0.64 ,12234.00 ,311286.00 ,812.00 ,1435.91 ,7866.00 ,464.44 ,10387.00 ,NA,28796.00 ,70.80 ,905.00 ,1413.00 ,551.60 ,15.20 ,62.00 ,1795.90 ,2311.70 ,24052.00 ,638.40 ,11616.00 ,9832.00 ,1037.90 ,56108.00 ,8026.00 ,743.00 ,15884.00 ,94.73 ,4031.00 ,337.50 ,97.12 ,132.70 ,16.30 ,491.60 ,925.40 ,6812.00 ,107731.00 ,218.00 ,32951.00 ,1222.00 ,75.50 ,1826.80 ,61436.00 ,293.23 ,24030.00 ,7136.00 ,2099.00 ,22.00 ,60.00 ,561.60 ,90.90 ,7218211.00 ,40.60 ,13087.20 ,4.58 ,15.51 ,3846.00 ,14602.00 ,6508.00 ,832728.00 ,9951.00 ,97664.00 ,NA,NA,NA,15.67 ,12.57 ,17395.00 ,155.70 ,522.70 ,20.00 ,512.40 ,98.00 ,17591.00 ,16151.00 ,583.00 ,86.80 ,0.80 ,7288.30 ,378.00 ,0.64 ,12234.00 ,311286.00 ,812.00 ,1435.91 ,7866.00 ,464.44 ,10387.00 ,NA,28796.00 ,70.80 ,905.00 ,1413.00 ,551.60 ,15.20 ,62.00 ,1795.90 
